 날짜,시간,청운효자동
 20190101, 0000, -4.800000 
 20190101, 0100, -3.600000 
 20190101, 0200, -2.400000 
 20190101, 0300, -1.700000 
 20190101, 0400, -1.700000 
 20190101, 0500, -0.800000 
 20190101, 0600, -1.200000 
 20190101, 0700, -2.000000 
 20190101, 0800, -2.700000 
 20190101, 0900, -3.300000 
 20190101, 1000, -3.900000 
 20190101, 1100, -4.700000 
 20190101, 1200, -5.300000 
 20190101, 1300, -6.100000 
 20190101, 1400, -6.800000 
 20190101, 1500, -7.400000 
 20190101, 1600, -7.800000 
 20190101, 1700, -7.800000 
 20190101, 1800, -8.300000 
 20190101, 1900, -8.500000 
 20190101, 2000, -8.400000 
 20190101, 2100, -8.500000 
 20190101, 2200, -8.600000 
 20190101, 2300, -6.700000 
 20190102, 0000, -4.700000 
 20190102, 0100, -3.500000 
 20190102, 0200, -2.700000 
 20190102, 0300, -1.000000 
 20190102, 0400, -0.700000 
 20190102, 0500, -0.200000 
 20190102, 0600, -0.300000 
 20190102, 0700, -1.500000 
 20190102, 0800, -2.700000 
 20190102, 0900, -3.400000 
 20190102, 1000, -3.900000 
 20190102, 1100, -4.300000 
 20190102, 1200, -4.100000 
 20190102, 1300, -4.800000 
 20190102, 1400, -5.400000 
 20190102, 1500, -6.300000 
 20190102, 1600, -6.900000 
 20190102, 1700, -7.400000 
 20190102, 1800, -7.600000 
 20190102, 1900, -7.900000 
 20190102, 2000, -7.700000 
 20190102, 2100, -8.200000 
 20190102, 2200, -8.200000 
 20190102, 2300, -7.200000 
 20190103, 0000, -3.800000 
 20190103, 0100, -0.600000 
 20190103, 0200, 0.000000 
 20190103, 0300, 1.100000 
 20190103, 0400, 2.500000 
 20190103, 0500, 2.900000 
 20190103, 0600, 2.900000 
 20190103, 0700, 0.900000 
 20190103, 0800, -0.400000 
 20190103, 0900, -1.000000 
 20190103, 1000, -1.700000 
 20190103, 1100, -2.800000 
 20190103, 1200, -3.300000 
 20190103, 1300, -3.500000 
 20190103, 1400, -3.900000 
 20190103, 1500, -4.300000 
 20190103, 1600, -4.600000 
 20190103, 1700, -4.900000 
 20190103, 1800, -5.200000 
 20190103, 1900, -5.400000 
 20190103, 2000, -5.800000 
 20190103, 2100, -5.800000 
 20190103, 2200, -5.900000 
 20190103, 2300, -4.800000 
 20190104, 0000, -2.800000 
 20190104, 0100, -0.900000 
 20190104, 0200, 0.100000 
 20190104, 0300, 1.300000 
 20190104, 0400, 3.600000 
 20190104, 0500, 4.000000 
 20190104, 0600, 2.900000 
 20190104, 0700, 2.600000 
 20190104, 0800, 2.000000 
 20190104, 0900, 1.400000 
 20190104, 1000, 1.500000 
 20190104, 1100, 1.300000 
 20190104, 1200, 0.600000 
 20190104, 1300, 0.000000 
 20190104, 1400, -0.200000 
 20190104, 1500, -0.500000 
 20190104, 1600, -1.700000 
 20190104, 1700, -2.300000 
 20190104, 1800, -3.000000 
 20190104, 1900, -3.900000 
 20190104, 2000, -4.700000 
 20190104, 2100, -4.400000 
 20190104, 2200, -4.600000 
 20190104, 2300, -4.400000 
 20190105, 0000, -3.300000 
 20190105, 0100, -2.800000 
 20190105, 0200, -1.500000 
 20190105, 0300, -0.600000 
 20190105, 0400, 0.000000 
 20190105, 0500, 0.800000 
 20190105, 0600, 0.600000 
 20190105, 0700, -0.600000 
 20190105, 0800, -1.500000 
 20190105, 0900, -2.400000 
 20190105, 1000, -2.600000 
 20190105, 1100, -3.000000 
 20190105, 1200, -4.100000 
 20190105, 1300, -5.000000 
 20190105, 1400, -5.700000 
 20190105, 1500, -6.000000 
 20190105, 1600, -6.100000 
 20190105, 1700, -5.800000 
 20190105, 1800, -5.600000 
 20190105, 1900, -5.400000 
 20190105, 2000, -5.200000 
 20190105, 2100, -5.200000 
 20190105, 2200, -5.500000 
 20190105, 2300, -5.000000 
 20190106, 0000, -3.600000 
 20190106, 0100, -0.400000 
 20190106, 0200, 0.900000 
 20190106, 0300, 1.200000 
 20190106, 0400, 1.800000 
 20190106, 0500, 2.600000 
 20190106, 0600, 2.300000 
 20190106, 0700, 0.200000 
 20190106, 0800, -1.100000 
 20190106, 0900, -1.700000 
 20190106, 1000, -2.500000 
 20190106, 1100, -3.300000 
 20190106, 1200, -3.600000 
 20190106, 1300, -3.800000 
 20190106, 1400, -4.200000 
 20190106, 1500, -4.300000 
 20190106, 1600, -4.500000 
 20190106, 1700, -4.800000 
 20190106, 1800, -5.200000 
 20190106, 1900, -5.500000 
 20190106, 2000, -5.800000 
 20190106, 2100, -6.100000 
 20190106, 2200, -5.800000 
 20190106, 2300, -4.900000 
 20190107, 0000, -1.500000 
 20190107, 0100, 0.000000 
 20190107, 0200, 0.900000 
 20190107, 0300, 1.800000 
 20190107, 0400, 2.200000 
 20190107, 0500, 2.500000 
 20190107, 0600, 2.600000 
 20190107, 0700, 1.300000 
 20190107, 0800, 0.400000 
 20190107, 0900, 0.100000 
 20190107, 1000, -0.300000 
 20190107, 1100, -0.800000 
 20190107, 1200, -1.500000 
 20190107, 1300, -2.000000 
 20190107, 1400, -2.300000 
 20190107, 1500, -2.600000 
 20190107, 1600, -2.600000 
 20190107, 1700, -3.400000 
 20190107, 1800, -4.300000 
 20190107, 1900, -4.900000 
 20190107, 2000, -5.300000 
 20190107, 2100, -5.400000 
 20190107, 2200, -5.400000 
 20190107, 2300, -4.000000 
 20190108, 0000, -2.400000 
 20190108, 0100, -1.600000 
 20190108, 0200, -1.300000 
 20190108, 0300, -0.500000 
 20190108, 0400, 0.000000 
 20190108, 0500, 0.200000 
 20190108, 0600, 0.100000 
 20190108, 0700, -1.100000 
 20190108, 0800, -2.100000 
 20190108, 0900, -3.600000 
 20190108, 1000, -5.100000 
 20190108, 1100, -5.800000 
 20190108, 1200, -6.700000 
 20190108, 1300, -6.800000 
 20190108, 1400, -6.800000 
 20190108, 1500, -7.600000 
 20190108, 1600, -7.500000 
 20190108, 1700, -7.400000 
 20190108, 1800, -8.400000 
 20190108, 1900, -8.800000 
 20190108, 2000, -9.000000 
 20190108, 2100, -9.200000 
 20190108, 2200, -9.100000 
 20190108, 2300, -8.000000 
 20190109, 0000, -4.700000 
 20190109, 0100, -3.200000 
 20190109, 0200, -2.100000 
 20190109, 0300, -1.500000 
 20190109, 0400, -0.200000 
 20190109, 0500, 0.800000 
 20190109, 0600, 0.200000 
 20190109, 0700, -0.900000 
 20190109, 0800, -2.100000 
 20190109, 0900, -3.000000 
 20190109, 1000, -3.500000 
 20190109, 1100, -4.000000 
 20190109, 1200, -4.200000 
 20190109, 1300, -4.400000 
 20190109, 1400, -4.200000 
 20190109, 1500, -3.900000 
 20190109, 1600, -3.900000 
 20190109, 1700, -4.100000 
 20190109, 1800, -3.900000 
 20190109, 1900, -4.000000 
 20190109, 2000, -4.300000 
 20190109, 2100, -4.100000 
 20190109, 2200, -3.900000 
 20190109, 2300, -3.200000 
 20190110, 0000, -1.700000 
 20190110, 0100, -0.100000 
 20190110, 0200, 2.900000 
 20190110, 0300, 1.900000 
 20190110, 0400, 1.900000 
 20190110, 0500, 2.600000 
 20190110, 0600, 2.600000 
 20190110, 0700, 2.000000 
 20190110, 0800, 1.300000 
 20190110, 0900, 0.900000 
 20190110, 1000, 0.700000 
 20190110, 1100, 0.600000 
 20190110, 1200, 0.600000 
 20190110, 1300, 0.500000 
 20190110, 1400, 0.700000 
 20190110, 1500, 0.700000 
 20190110, 1600, 0.700000 
 20190110, 1700, 0.500000 
 20190110, 1800, 0.300000 
 20190110, 1900, 0.200000 
 20190110, 2000, 0.200000 
 20190110, 2100, 0.000000 
 20190110, 2200, -0.200000 
 20190110, 2300, 0.000000 
 20190111, 0000, 1.700000 
 20190111, 0100, 3.500000 
 20190111, 0200, 4.600000 
 20190111, 0300, 6.300000 
 20190111, 0400, 7.100000 
 20190111, 0500, 6.300000 
 20190111, 0600, 5.700000 
 20190111, 0700, 4.700000 
 20190111, 0800, 4.300000 
 20190111, 0900, 3.600000 
 20190111, 1000, 2.800000 
 20190111, 1100, 2.000000 
 20190111, 1200, 1.600000 
 20190111, 1300, 1.400000 
 20190111, 1400, 1.200000 
 20190111, 1500, 1.500000 
 20190111, 1600, 1.400000 
 20190111, 1700, 1.400000 
 20190111, 1800, 1.500000 
 20190111, 1900, 1.500000 
 20190111, 2000, 1.400000 
 20190111, 2100, 1.300000 
 20190111, 2200, 1.000000 
 20190111, 2300, 1.500000 
 20190112, 0000, 2.500000 
 20190112, 0100, 4.800000 
 20190112, 0200, 5.600000 
 20190112, 0300, 7.300000 
 20190112, 0400, 7.400000 
 20190112, 0500, 7.200000 
 20190112, 0600, 6.400000 
